STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USC00041253,1,4.89,0,50.7,67.2,34.2
USC00041253,2,5.29,0,51.8,68.1,35.4
USC00041253,3,3.61,0,54.5,71.2,37.8
USC00041253,4,1.31,0,57.5,75.7,39.3
USC00041253,5,0.54,0,61.3,79.8,42.8
USC00041253,6,0.06,0,65.8,86.2,45.3
USC00041253,7,0.01,0,69.9,92.1,47.8
USC00041253,8,0,0,70.9,93.2,48.5
USC00041253,9,0.08,0,68.6,90.6,46.7
USC00041253,10,0.8,0,63.6,84.2,43.1
USC00041253,11,1.24,0,56.4,74.8,38
USC00041253,12,3.3,0,50.1,66.8,33.4
