site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
LAC,2014,11,5,21,5,52,11/5/2014 13:05,2014.846244,1/1/3805,418.22,-999.999,34.0216,-118.2891,105,55,50,R,378432,L8,12/6/2014 6:42,...
LAC,2014,11,5,21,5,58,11/5/2014 13:05,2014.846244,1/1/3056,427.33,-999.999,34.2841,-118.4727,442,391,51,R,378442,L8,12/6/2014 5:06,...
LAC,2014,11,5,21,7,2,11/5/2014 13:07,2014.846246,1/1/3038,414.72,-999.999,33.8802,-117.8845,125,75,50,R,378430,L8,12/6/2014 4:50,...
LAC,2014,11,8,21,5,47,11/8/2014 13:05,2014.854463,3/1/3805,464.63,-999.999,34.0216,-118.2891,105,55,50,R,378434,L8,12/6/2014 6:58,...
LAC,2014,11,8,21,5,58,11/8/2014 13:05,2014.854463,3/1/3056,407.89,-999.999,34.2841,-118.4727,442,391,51,R,378444,L8,12/6/2014 5:22,...
LAC,2014,11,11,21,5,48,11/11/2014 13:05,2014.862682,5/1/3805,409.6,-999.999,34.0216,-118.2891,105,55,50,R,378436,L8,12/6/2014 7:15,...
LAC,2014,11,11,21,6,3,11/11/2014 13:06,2014.862683,5/1/3056,417.2,-999.999,34.2841,-118.4727,442,391,51,R,378446,L8,12/6/2014 5:38,...
LAC,2014,11,14,21,5,58,11/14/2014 13:05,2014.870902,7/1/3056,414.54,-999.999,34.2841,-118.4727,442,391,51,R,378448,L8,12/6/2014 5:54,...
LAC,2014,11,17,21,5,56,11/17/2014 13:05,2014.879121,9/1/3805,412.9,-999.999,34.0216,-118.2891,105,55,50,R,378438,L8,12/6/2014 7:31,...
LAC,2014,11,17,21,5,59,11/17/2014 13:05,2014.879121,9/1/3056,400.02,-999.999,34.2841,-118.4727,442,391,51,R,378450,L8,12/6/2014 6:10,...
LAC,2014,11,20,21,5,54,11/20/2014 13:05,2014.88734,11/1/3805,413.32,-999.999,34.0216,-118.2891,105,55,50,R,378440,L8,12/6/2014 7:47,...
