site_code,year,month,day,hour,minute,second,datetime,time_decimal,air_sample_container_id,value,value_unc,latitude,longitude,altitude,elevation,intake_height,method,event_number,instrument,analysis_datetime,qcflag
WGC,2007,9,20,21,47,35,9/20/2007 14:47,2007.720296,2/1/3089,384.96,-999.999,38.2645,-121.4904,486,2,484,C,242460,L3,9/27/2007 2:53,C..
WGC,2007,9,20,21,52,42,9/20/2007 14:52,2007.720306,3/1/3089,384.94,-999.999,38.2645,-121.4904,486,2,484,C,242461,L3,9/27/2007 3:08,C..
WGC,2007,9,20,22,10,5,9/20/2007 15:10,2007.720339,4/1/3089,383.72,-999.999,38.2645,-121.4904,486,2,484,C,242462,L3,9/27/2007 3:23,C..
WGC,2007,9,20,22,16,33,9/20/2007 15:16,2007.720351,5/1/3089,383.53,-999.999,38.2645,-121.4904,486,2,484,C,242463,L3,9/27/2007 3:38,C..
WGC,2007,9,20,22,39,13,9/20/2007 15:39,2007.720394,1/1/3089,382.16,-999.999,38.2645,-121.4904,486,2,484,C,242459,L3,9/27/2007 2:38,C..
WGC,2007,9,20,22,47,24,9/20/2007 15:47,2007.72041,7/1/3089,381.43,-999.999,38.2645,-121.4904,486,2,484,C,242464,L3,9/27/2007 3:53,C..
WGC,2007,9,21,22,16,33,9/21/2007 15:16,2007.723091,8/1/3089,390.77,-999.999,38.2645,-121.4904,91.1,2,89.1,C,242465,L3,9/27/2007 4:08,.SC
WGC,2007,9,22,22,10,1,9/22/2007 15:10,2007.725818,9/1/3089,393.86,-999.999,38.2645,-121.4904,486,2,484,C,242466,L3,9/27/2007 4:23,.SC
WGC,2007,9,22,22,16,26,9/22/2007 15:16,2007.72583,10/1/3089,388.09,-999.999,38.2645,-121.4904,91.1,2,89.1,C,242467,L3,9/27/2007 4:38,.SC
WGC,2007,9,23,22,16,25,9/23/2007 15:16,2007.72857,11/1/3089,379.55,-999.999,38.2645,-121.4904,486,2,484,C,242468,L3,9/27/2007 4:53,.SC
WGC,2007,9,24,22,9,25,9/24/2007 15:09,2007.731296,1/1/3148,384,-999.999,38.2645,-121.4904,91.1,2,89.1,C,242866,L3,10/5/2007 5:30,.SC
WGC,2007,9,24,22,15,52,9/24/2007 15:15,2007.731309,2/1/3148,384.93,-999.999,38.2645,-121.4904,486,2,484,C,242867,L3,10/5/2007 5:44,.SC
WGC,2007,9,25,22,9,24,9/25/2007 15:09,2007.734036,3/1/3148,388.4,-999.999,38.2645,-121.4904,91.1,2,89.1,C,242868,L3,10/5/2007 5:59,.SC
WGC,2007,9,26,22,9,22,9/26/2007 15:09,2007.736776,4/1/3148,385.26,-999.999,38.2645,-121.4904,91.1,2,89.1,C,242869,L3,10/5/2007 6:14,.SC
WGC,2007,9,27,22,15,47,9/27/2007 15:15,2007.739528,5/1/3148,387.77,-999.999,38.2645,-121.4904,486,2,484,C,242870,L3,10/5/2007 6:29,.SC
WGC,2007,9,28,22,15,44,9/28/2007 15:15,2007.742267,6/1/3148,381.87,-999.999,38.2645,-121.4904,486,2,484,C,242871,L3,10/5/2007 6:44,.SC
WGC,2007,9,29,22,8,31,9/29/2007 15:08,2007.744993,7/1/3148,380.75,-999.999,38.2645,-121.4904,91.1,2,89.1,C,242872,L3,10/5/2007 6:58,C.C
WGC,2007,9,30,22,15,40,9/30/2007 15:15,2007.747747,8/1/3148,383.46,-999.999,38.2645,-121.4904,486,2,484,C,242873,L3,10/5/2007 7:13,.SC
WGC,2007,10,1,22,9,44,10/1/2007 15:09,2007.750475,1/1/3067,383.48,-999.999,38.2645,-121.4904,91.1,2,89.1,C,243151,L3,10/11/2007 20:32,..C
WGC,2007,10,2,22,9,42,10/2/2007 15:09,2007.753215,2/1/3067,381.62,-999.999,38.2645,-121.4904,91.1,2,89.1,C,243152,L3,10/11/2007 20:47,..C
WGC,2007,10,2,22,16,56,10/2/2007 15:16,2007.753229,3/1/3067,382.24,-999.999,38.2645,-121.4904,486,2,484,C,243153,L3,10/11/2007 21:02,..C
