Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1961,1961,ha,105559547,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1961,1961,100 g/ha,19423,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1961,1961,t,205027236,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1962,1962,ha,103496472,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1962,1962,100 g/ha,19796,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1962,1962,t,204876636,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1963,1963,ha,108427427,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1963,1963,100 g/ha,20311,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1963,1963,t,220228115,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1964,1964,ha,107925069,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1964,1964,100 g/ha,19937,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1964,1964,t,215172391,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1965,1965,ha,106676499,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1965,1965,100 g/ha,21237,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1965,1965,t,226544121,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1966,1966,ha,111240993,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,112,Maize (corn),1966,1966,100 g/ha,22078,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,112,Maize (corn),1966,1966,t,245599100,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,112,Maize (corn),1967,1967,ha,112457700,E,Estimated value,
